id,set,source,severity,claim,where,probe,status
F-01,001,001FINDINGS,HIGH,"coerce() rejects true/false; mirror sync fails permanently, misreported as drift",core/ontology/field_types.py,RP,unverified
F-02,001,001FINDINGS,HIGH,cross-type actions unauthorisable by any valid policy,write_mediator.py:1236 + policy_validation.py:51,RP,"reproduced 24 Sep, owner decision pending"
F-03,001,001FINDINGS,HIGH,KeyError 'mutations' on a cross-type action containing a delete,write_mediator.py cross-type loop,RP,"reproduced 24 Sep"
F-04,001,001FINDINGS,MED,chat(*args **kwargs) erases the typed LLM signature at the wrapper,core/llm,IN,unverified
F-05,001,001FINDINGS,MED,rate-limit check and increment are separate transactions,api rate limiting,IN,unverified
F-06,001,001FINDINGS,MED,DeploymentConfigResponse duplicates DeploymentConfig field-for-field,api/routes.py,MC,unverified
F-07,001,001FINDINGS,LOW,identical via_table destructuring at four sites,core/ontology,MC,unverified
F-08,001,001FINDINGS,LOW,submission_criteria parameter-skip safe only via an unstated precondition,write_mediator.py,IN,unverified
F-09,001,001FINDINGS,LOW,MemoryGuard.put() uses a private mediator method; flattens None to empty string,core/memory,IN,unverified
F-10,001,001FINDINGS,LOW,_generation(request) called 31x where a Depends() exists,api/routes.py,MC,unverified
F-11,001,001FINDINGS,LOW,mediator() test fixture duplicated seven times,tests/unit,MC,unverified
F-12a,001,001FINDINGS,LOW,"THE SEVEN REAL GRANT PATTERNS enumerates six, omits manage:deployment",policy docs,IN,unverified
F-12b,001,001FINDINGS,LOW,login_attempt_tracker claims a structurally read-only connection; it is not,core/auth,IN,unverified
F-12c,001,001FINDINGS,LOW,"write: rejection message claims it is not enforced anywhere; it is",policy_validation.py:51,IN,"confirmed by the F-02 reproduction"
F-13,001,001FINDINGS,LOW,"get_object() audit entries carry no request_id",core/ontology/mediator.py,IN,unverified
F-14,001,001FINDINGS,HIGH,parameter used only in a sub-write's criteria rejected at load,action type validation,RP,"fixed patch 389"
F-15,001,001FINDINGS,HIGH,valid non-object JSON from the model gives an uncaught 500,agent_step_prompt.py,RP,"fixed patch 389"
F-16,001,001FINDINGS,LOW,64 assertion-free tests (regraded by the audit itself),tests,MC,unverified
F-17,001,001FINDINGS,LOW,every action parameter shown to the model as a quoted string,agent_step_prompt.py,IN,unverified
F-18,001,001FINDINGS,INFO,agent limited to equality filters,agentic_loop.py,IN,"open; = LB-2"
F-19,001,001FINDINGS,MED,a reverse link accepted as security.via_field; read path crashes,ontology validation,RP,unverified
F-20,001,001FINDINGS,MED,mirror stringifies literals for three operators and not two,mirror_adapter.py,IN,"fixed patch 333 per PA001-A8"
F-21,001,001FINDINGS,MED,entries_for_request() readlines() loads the whole audit log,core/intermediate_layer/audit.py,IN,unverified
F-22,001,001FINDINGS,HIGH,Ollama adapter leaks 3 of 4 failure modes past LLMUnavailable,adapters/ollama_adapter.py,RP,"fixed patch 389"
F-23,001,001FINDINGS,HIGH,"synthesis catches RequestException, not LLMUnavailable",synthesis_prompt.py,RP,"fixed patch 389"
F-24,001,001FINDINGS,LOW,Claude SDK adapter passes the system prompt as argv (~128 KB ceiling),claude_agent_sdk_adapter.py,RP,unverified
F-25,001,001FINDINGS,HIGH,generation numbers repeat after restart and are consumed by rejected loads,deployment_loader.py,RP,unverified
F-26,001,001FINDINGS,HIGH,"mirror overlay returns only the latest edit, serving stale values",write_log.py,RP,"= PA001-A4, fixed 529b235"
F-27,001,001FINDINGS,HIGH,"crash recovery loses deletes, reports success, writes a fabricated create",write path recovery,RP,unverified
F-28,001,001FINDINGS,MED,"rebuild_deleted_index() documented as the recovery path, never called",write_log.py,IN,"fixed patch 397"
F-29,001,001FINDINGS,MED,sync timestamp taken after the read: a blind window,iceberg_sync.py,RP,"= PA001-A5 (partly fixed)"
F-30,001,001FINDINGS,MED,create_colleague_user.py bypasses create_debug_user.py's safety guard,scripts/,IN,unverified
F-31,001,001FINDINGS,LOW,ObjectNotes.submit() is the only error handler ignoring session expiry,ui/,IN,unverified
F-32,001,001FINDINGS,LOW,apiFetchOrThrow reads an untyped body.detail,ui/,IN,unverified
F-33,001,001FINDINGS,MED,two critical auth controls each defended by exactly ONE test,tests/unit,RP,unverified
N-01,001,001FINDINGS,NOFIX,duplicated denial-logging block (rule of three says wait),core/intermediate_layer,IN,"recorded as do-not-fix"
N-02,001,001FINDINGS,NOFIX,user_directory bare commit() (convention split),core/auth,IN,"recorded as do-not-fix"
N-03,001,001FINDINGS,NOFIX,Protocol vs ABC split (document the Protocol side),core/,IN,"recorded as do-not-fix"
004-1,004,004FINDINGS,MED,lint.sh lockfile step sets FAILED=1 which nothing reads,lint.sh,RP,unverified
